run_id,source_path,threshold,best_round,recall,spec,f1,ppv,npv,fpr,youden,alerts_per_1000,auc,prevalence,tp,fp,tn,fn
run_10,/Users/ginasixt/federated-learning/logs/thr_0.5/run_10.log,0.5,12,0.7934644221247701,0.7005061030068473,0.4355489982916602,0.30015518809867825,0.9544447564666604,0.2994938969931527,0.4939705251316173,368.31835383159887,0.8248673425339056,0.13932907600126143,56090.0,130780.0,305890.0,14600.0
run_8,/Users/ginasixt/federated-learning/logs/thr_0.5/run_8.log,0.5,16,0.765030414485783,0.7302768681155105,0.44592867450010304,0.3146747352496218,0.9504918032786885,0.26972313188448943,0.4953072826012934,338.7338379060233,0.8254423922186099,0.13932907600126143,54080.0,117780.0,318890.0,16610.0
run_9,/Users/ginasixt/federated-learning/logs/thr_0.5/run_9.log,0.5,3,0.7418305276559627,0.7467881924565462,0.44878048780487806,0.32169805533402857,0.9470015972121388,0.25321180754345385,0.48861872011250895,321.2906023336487,0.822390573745851,0.13932907600126143,52440.0,110570.0,326100.0,18250.0
run_2,/Users/ginasixt/federated-learning/logs/thr_0.5/run_2.log,0.5,2,0.7872400622435988,0.7061396477889481,0.4370533260032985,0.3024949720063054,0.9534926868486966,0.29386035221105183,0.493379710032547,362.6024913276569,0.8211216757511014,0.13932907600126143,55650.0,128320.0,308350.0,15040.0
run_3,/Users/ginasixt/federated-learning/logs/thr_0.5/run_3.log,0.5,20,0.742396378554251,0.7501545789726796,0.4518878890945882,0.3247926723604406,0.9473364567065764,0.2498454210273204,0.4925509575269307,318.4720908230842,0.8260708285561548,0.13932907600126143,52480.0,109100.0,327570.0,18210.0
run_1,/Users/ginasixt/federated-learning/logs/thr_0.5/run_1.log,0.5,8,0.7863912858961664,0.7090022213570889,0.4388395500296033,0.3043359246687835,0.9534955343393902,0.2909977786429111,0.49539350725325537,360.0204982655314,0.824075391653112,0.13932907600126143,55590.0,127070.0,309600.0,15100.0
run_4,/Users/ginasixt/federated-learning/logs/thr_0.5/run_4.log,0.5,20,0.7900693167350403,0.7066892619140313,0.4386929542062682,0.3036481270048388,0.9541168104381165,0.2933107380859688,0.4967585786490716,362.5236518448439,0.8250135674405633,0.13932907600126143,55850.0,128080.0,308590.0,14840.0
run_5,/Users/ginasixt/federated-learning/logs/thr_0.5/run_5.log,0.5,19,0.7846937332013014,0.7147044679048251,0.44245034697296,0.30808108858650374,0.9534997403073538,0.28529553209517483,0.49939820110612665,354.8762220119836,0.8256063457249012,0.13932907600126143,55470.0,124580.0,312090.0,15220.0
run_7,/Users/ginasixt/federated-learning/logs/thr_0.5/run_7.log,0.5,20,0.7579572782571792,0.736368424668514,0.4476377459375914,0.31760521636040306,0.9494773519163763,0.263631575331486,0.4943257029256931,332.50551876379694,0.825216779792842,0.13932907600126143,53580.0,115120.0,321550.0,17110.0
run_6,/Users/ginasixt/federated-learning/logs/thr_0.5/run_6.log,0.5,9,0.7986985429339369,0.700803810657934,0.43801396431342127,0.3017476350809684,0.9555659640905543,0.2991961893420661,0.499502353591871,368.7913907284768,0.8248701350515641,0.13932907600126143,56460.0,130650.0,306020.0,14230.0
run_10,/Users/ginasixt/federated-learning/logs/thr_0.42/run_10.log,0.42,12,0.7878059131418871,0.7068037648567569,0.4377972563971542,0.3031243196168082,0.953652206154987,0.29319623514324317,0.49460967799864397,362.1097445600757,0.8251053917059497,0.13932907600126143,55690.0,128030.0,308640.0,15000.0
run_8,/Users/ginasixt/federated-learning/logs/thr_0.42/run_8.log,0.42,4,0.6358749469514783,0.8223143334783705,0.46524866739119186,0.36681899787824385,0.9331115846369731,0.1776856665216296,0.45818928042984863,241.52475559760327,0.8243867962469587,0.13932907600126143,44950.0,77590.0,359080.0,25740.0
run_9,/Users/ginasixt/federated-learning/logs/thr_0.42/run_9.log,0.42,3,0.6106945819776489,0.8322989900840452,0.4614891228820354,0.37087628865979383,0.929609167178228,0.16770100991595485,0.442993572061694,229.42289498580888,0.8225000391422214,0.13932907600126143,43170.0,73230.0,363440.0,27520.0
run_2,/Users/ginasixt/federated-learning/logs/thr_0.42/run_2.log,0.42,14,0.6420993068326496,0.8211235028740238,0.46748030279623054,0.3675303643724696,0.934090553847757,0.17887649712597614,0.4632228097066733,243.4169031851151,0.8261867536743467,0.13932907600126143,45390.0,78110.0,358560.0,25300.0
run_3,/Users/ginasixt/federated-learning/logs/thr_0.42/run_3.log,0.42,2,0.5840995897580987,0.8409783131426478,0.45518685922169555,0.37288900930190555,0.92587550109674,0.15902168685735224,0.42507790290074654,218.24739829706715,0.8188058897747992,0.13932907600126143,41290.0,69440.0,367230.0,29400.0
run_1,/Users/ginasixt/federated-learning/logs/thr_0.42/run_1.log,0.42,20,0.6340359315320413,0.820963198754208,0.46280138365429296,0.364390243902439,0.9326933083567489,0.17903680124579202,0.4549991302862493,242.43140964995268,0.8256243302513279,0.13932907600126143,44820.0,78180.0,358490.0,25870.0
run_4,/Users/ginasixt/federated-learning/logs/thr_0.42/run_4.log,0.42,13,0.5816947234403734,0.8544667597957267,0.468978102189781,0.3928537307729053,0.9265688246542005,0.14553324020427325,0.43616148323610027,206.30321665089878,0.8260385461449435,0.13932907600126143,41120.0,63550.0,373120.0,29570.0
run_5,/Users/ginasixt/federated-learning/logs/thr_0.42/run_5.log,0.42,6,0.5962653840712973,0.8385737513454096,0.4598265423007691,0.3742009943181818,0.9276955816781516,0.16142624865459043,0.43483913541670693,222.01198360138758,0.8228760717302932,0.13932907600126143,42150.0,70490.0,366180.0,28540.0
run_7,/Users/ginasixt/federated-learning/logs/thr_0.42/run_7.log,0.42,5,0.5429339369076248,0.8656422470057481,0.4576129724573745,0.39546625450798556,0.9212546611098925,0.13435775299425196,0.408576183913373,191.28429517502366,0.8227695754086721,0.13932907600126143,38380.0,58670.0,378000.0,32310.0
run_6,/Users/ginasixt/federated-learning/logs/thr_0.42/run_6.log,0.42,15,0.6064507002404866,0.8416424302104564,0.46926823928630074,0.38269951794322443,0.9296301917336975,0.1583575697895436,0.448093130450943,220.7899716177862,0.8255900198632561,0.13932907600126143,42870.0,69150.0,367520.0,27820.0
run_10,/Users/ginasixt/federated-learning/logs/thr_0.35/run_10.log,0.35,2,0.736737869571368,0.7525362401813727,0.4512411731577351,0.32521543649306855,0.9464028569782846,0.24746375981862734,0.48927410975274066,315.6338694418165,0.8216489335370204,0.13932907600126143,52080.0,108060.0,328610.0,18610.0
run_8,/Users/ginasixt/federated-learning/logs/thr_0.35/run_8.log,0.35,8,0.7023624275003536,0.7799024434927978,0.4587664587664587,0.3406284302963776,0.9418141592920354,0.22009755650720222,0.4822648709931514,287.29107537054557,0.8251370877532446,0.13932907600126143,49650.0,96110.0,340560.0,21040.0
run_9,/Users/ginasixt/federated-learning/logs/thr_0.35/run_9.log,0.35,13,0.6979770830386193,0.7842077541392813,0.4605619340987585,0.3436651110956328,0.941312295555128,0.21579224586071863,0.4821848371779005,282.9746136865342,0.8256812950198917,0.13932907600126143,49340.0,94230.0,342440.0,21350.0
run_2,/Users/ginasixt/federated-learning/logs/thr_0.35/run_2.log,0.35,11,0.7173574763049936,0.7665743009595347,0.4541261809877759,0.33221960167714887,0.9436738836265224,0.23342569904046534,0.4839317772645284,300.8514664143803,0.8248055183958671,0.13932907600126143,50710.0,101930.0,334740.0,19980.0
run_3,/Users/ginasixt/federated-learning/logs/thr_0.35/run_3.log,0.35,9,0.6901966331871552,0.7880779536034076,0.46023960003773234,0.3452204061416543,0.9401688386197853,0.2119220463965924,0.4782745867905627,278.55960264900665,0.8250149248244366,0.13932907600126143,48790.0,92540.0,344130.0,21900.0
run_1,/Users/ginasixt/federated-learning/logs/thr_0.35/run_1.log,0.35,13,0.7073136228603762,0.7753681269608629,0.45708017186214467,0.33763252076440003,0.9424110000835026,0.2246318730391371,0.48268174982123924,291.8834752444024,0.8250462450804917,0.13932907600126143,50000.0,98090.0,338580.0,20690.0
run_4,/Users/ginasixt/federated-learning/logs/thr_0.35/run_4.log,0.35,9,0.6824161833356911,0.7924977671926169,0.4604371480385606,0.34742527907814186,0.939078993785786,0.20750223280738314,0.474913950528308,273.6715547146011,0.8247547639014924,0.13932907600126143,48240.0,90610.0,346060.0,22450.0
run_5,/Users/ginasixt/federated-learning/logs/thr_0.35/run_5.log,0.35,7,0.6402602914132126,0.8174823092953489,0.46266291847687196,0.3621959026888604,0.9334989539748954,0.1825176907046511,0.45774260070856165,246.29454430778935,0.8239982475429093,0.13932907600126143,45260.0,79700.0,356970.0,25430.0
run_7,/Users/ginasixt/federated-learning/logs/thr_0.35/run_7.log,0.35,13,0.7025038902249258,0.7809329699773284,0.4597935280774038,0.34172859895403246,0.9419124958568114,0.21906703002267158,0.48343686020225407,286.4238410596027,0.8258797030755495,0.13932907600126143,49660.0,95660.0,341010.0,21030.0
run_6,/Users/ginasixt/federated-learning/logs/thr_0.35/run_6.log,0.35,19,0.6870844532465695,0.7900474042182885,0.4605100976581018,0.3463101604278075,0.9397455803437662,0.20995259578171158,0.477131857464858,276.43093661305585,0.8257123496304158,0.13932907600126143,48570.0,91680.0,344990.0,22120.0
